Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
190999,Way Station,Clifford D. Simak,"Simak, Clifford D.",,"=""0020248717""","=""9780020248712""",3,4.03,Collier Books,Paperback,210,1992,1988,2022/11/11,2022/10/24,fiction,fiction (#178),read,,,,1,0
56991925,Concurrent Data Processing in Elixir,Svilen Gospodinov,"Gospodinov, Svilen",,"=""""","=""9781680508192""",0,4.33,The Pragmatic Bookshelf,ebook,170,2021,2021,,2022/10/29,currently-reading,currently-reading (#4),currently-reading,,,,1,0
39943621,"Fire & Blood (A Targaryen History, #1)",George R.R. Martin,"Martin, George R.R.",Doug Wheatley,"=""152479628X""","=""9781524796280""",2,3.97,Bantam,Hardcover,719,2018,2018,2022/10/23,2022/10/13,fiction,fiction (#177),read,,,,1,0
52824295,The Making of Prince of Persia: Journals 1985-1993,Jordan Mechner,"Mechner, Jordan",,"=""0578627310""","=""9780578627311""",4,4.20,Stripe Press,Hardcover,336,2020,,2022/09/10,2022/09/10,non-fiction,non-fiction (#51),read,,,,1,0
45309700,The Internals of PostgreSQL,Hironobu Suzuki,"Suzuki, Hironobu",,"=""""","=""""",2,4.20,interdb.jp,ebook,206,2018,,2022/09/07,2022/07/05,programming,programming (#108),read,,,,1,0
222146,Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,David Kushner,"Kushner, David",,"=""0812972155""","=""9780812972153""",4,4.29,Random House Trade Paperbacks,Paperback,339,2004,2003,2022/09/03,2022/08/31,non-fiction,non-fiction (#50),read,,,,1,0
22584,"Flow My Tears, the Policeman Said",Philip K. Dick,"Dick, Philip K.",Chris     Moore,"=""1857983416""","=""9781857983418""",3,3.92,Gollancz  ,Paperback,204,2001,1974,2022/08/20,2022/08/11,fiction,fiction (#176),read,,,,1,0
25080953,The Go Programming Language,Alan A.A. Donovan,"Donovan, Alan A.A.",Brian W. Kernighan,"=""0134190440""","=""9780134190440""",3,4.45,Addison-Wesley,Paperback,380,2015,2015,2022/08/12,2022/04/03,programming,programming (#107),read,,,,1,0
55182024,Learning Helm: Managing Apps on Kubernetes,Matt Butcher,"Butcher, Matt","Matt Farina, Josh Dolitsky","=""1492083658""","=""9781492083658""",3,3.73,O'Reilly Media,Paperback,214,2021,,2022/06/25,2022/06/01,programming,programming (#106),read,,,,1,0
102030,Musashi,Eiji Yoshikawa,"Yoshikawa, Eiji","Charles S. Terry, Edwin O. Reischauer","=""4770019572""","=""9784770019578""",4,4.46,Kodansha International,Hardcover,970,1995,1935,2022/06/20,2022/04/09,fiction,fiction (#175),read,,,,1,0
60829943,The Future of Observability with OpenTelemetry,Ted Young,"Young, Ted",,"=""""","=""""",3,3.00,"O'Reilly Media, Inc.",ebook,75,2021,,2022/05/08,2022/05/08,programming,programming (#105),read,,,,1,0
60821466,The Purely Functional Software Deployment Model,Eelco Dolstra,"Dolstra, Eelco",,"=""9039341303""","=""""",4,4.00,,ebook,268,2006,,2022/04/26,2022/04/16,programming,programming (#104),read,,,,1,0
56481725,Staff Engineer: Leadership Beyond the Management Track,Will Larson,"Larson, Will",Tanya Reilly,"=""""","=""""",3,4.08,Will Larson,Kindle Edition,337,2021,,2022/04/21,2022/04/09,programming,programming (#103),read,,,,1,0
179133,Domain-Driven Design: Tackling Complexity in the Heart of Software,Eric Evans,"Evans, Eric",,"=""0321125215""","=""9780321125217""",3,4.15,Addison-Wesley Professional,Hardcover,560,2003,2003,2022/03/30,2022/02/26,programming,programming (#102),read,,,,1,0
1766063,The Zen Gun,Barrington J. Bayley,"Bayley, Barrington J.",,"=""0879978511""","=""9780879978518""",3,3.35,DAW,Paperback,159,1983,1983,2022/03/29,2022/03/15,fiction,fiction (#174),read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",3,4.52,Ballantine Books,Hardcover,476,2021,2021,2022/02/25,2022/01/30,fiction,fiction (#173),read,,,,1,0
40798,"Turtles, Termites, and Traffic Jams: Explorations in Massively Parallel Microworlds",Mitchel Resnick,"Resnick, Mitchel",,"=""0262680939""","=""9780262680936""",3,3.92,MIT Press,Paperback,184,1997,1994,2022/02/04,2021/10/13,programming,programming (#99),read,,,,1,0
40099266,Nix Pills,Bruno Luca,"Luca, Bruno",,"=""""","=""""",3,3.80,NixOS,ebook,265,2018,,2022/01/15,2022/01/01,programming,programming (#101),read,,,,1,0
8935689,"Consider Phlebas (Culture, #1)",Iain M. Banks,"Banks, Iain M.",,"=""1857231384""","=""9781857231380""",3,3.86,Orbit,Paperback,471,1988,1987,2021/12/29,2021/11/27,fiction,fiction (#172),read,,,,1,0
35492204,Adopting Elixir: From Concept to Production,Ben Marx,"Marx, Ben","José Valim, Bruce A. Tate","=""1680502522""","=""9781680502527""",3,4.33,Pragmatic Bookshelf,Paperback,275,2017,,2021/12/10,2021/11/04,"elixir, programming","elixir (#10), programming (#100)",read,,,,1,0
42343,Blind Man's Bluff: The Untold Story of American Submarine Espionage,Sherry Sontag,"Sontag, Sherry","Christopher Drew, Annette Lawrence Drew","=""006097771X""","=""9780060977719""",3,4.21,William Morrow Paperbacks,Paperback,432,2000,1998,2021/08/22,2021/04/23,non-fiction,non-fiction (#48),read,,,,1,0
7190,"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,"Dumas, Alexandre","Richard Pevear, Philip Bates, William Barrow, August Zoller, Marisa Zini, Moshe Ukle, Pierre Toutain-Dorbec, John      Lee, Jacques Georges Clemenc Le Clercq, Natalie Montoto, S.M. Sheley, Daniel Rasmusson, Louis Jourdan, Walter Covell, Michael Page, Brett Helquist, Michael Hugh Johnson, Sylvie Thorel-Cailleteau, Milo Winter, Bill Homewood, Arthur Paul John Charles James Gore Sudley, S.N. Rizvi, Giorgio Manganelli, William Robson, Isabel Ely Lord, Александр Дюма","=""""","=""""",3,4.09,Modern Library,Paperback,625,2001,1844,2021/11/16,2021/11/06,fiction,fiction (#171),read,,,,1,0
18630,"The Player of Games (Culture, #2)",Iain M. Banks,"Banks, Iain M.",,"=""0061053562""","=""9780061053566""",4,4.27,HarperPrism,Paperback,293,1997,1988,2021/10/31,2021/10/30,fiction,fiction (#170),read,,,,1,0
102439,Rainbows End,Vernor Vinge,"Vinge, Vernor",,"=""0812536363""","=""9780812536362""",3,3.77,Tor Science Fiction,Paperback,381,2007,2006,2021/10/24,2021/10/10,fiction,fiction (#169),read,,,,1,0
18058001,Systems Performance: Enterprise and the Cloud,Brendan Gregg,"Gregg, Brendan",,"=""0133390098""","=""9780133390094""",4,4.50,Prentice Hall,Paperback,735,2013,2013,2021/10/12,2021/06/30,programming,programming (#98),read,,,,1,0
18154,The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage,Clifford Stoll,"Stoll, Clifford",,"=""1416507787""","=""9781416507789""",4,4.27,Gallery Books,Paperback,399,2005,1989,2021/09/11,2021/08/29,non-fiction,non-fiction (#49),read,,,,1,0
394024,Ventus,Karl Schroeder,"Schroeder, Karl",,"=""0812576357""","=""9780812576351""",4,3.93,Tor Science Fiction,Paperback,672,2001,2000,2021/07/24,2021/07/04,fiction,fiction (#168),read,,,,1,0
51635102,BPF Performance Tools,Brendan Gregg,"Gregg, Brendan",,"=""0136554822""","=""9780136554820""",0,4.53,Addison-Wesley Professional,Paperback,880,2019,,,2021/06/26,currently-reading,currently-reading (#3),currently-reading,,,,1,0
582174,Theory of Constraints,Eliyahu M. Goldratt,"Goldratt, Eliyahu M.",,"=""0884271668""","=""9780884271666""",3,4.00,North River Pr,Paperback,160,1990,1990,2021/05/26,2021/05/14,non-fiction,non-fiction (#47),read,,,,1,0
8384010,Color and Light: A Guide for the Realist Painter,James Gurney,"Gurney, James",,"=""0740797719""","=""9780740797712""",3,4.20,Andrews McMeel Publishing,Paperback,224,2010,2010,2021/05/23,2021/04/17,non-fiction,non-fiction (#46),read,,,,1,0
34072,Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,"Ware, Chris",,"=""0224063979""","=""9780224063975""",2,4.09,Jonathan Cape,Paperback,380,2003,2000,2021/04/11,2021/04/02,comics,comics (#12),read,,,,1,0
1620069,The Art of Prolog: Advanced Programming Techniques,Leon Sterling,"Sterling, Leon",,"=""0262193388""","=""9780262193382""",4,3.94,MIT Press,Hardcover,,1994,1986,2021/04/02,2021/01/09,programming,programming (#97),read,,,,1,0
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",4,4.25,Bloomsbury,Hardcover,245,2020,2020,2021/03/19,2021/03/08,fiction,fiction (#167),read,,,,1,0
25838602,Indian Mutual Funds Handbook,Sundar Sankaran,"Sankaran, Sundar",,"=""8170948363""","=""""",3,3.74,Vision Books,Paperback,352,2012,2012,2017/02/05,2017/01/06,economics,economics (#2),read,"From a newbie perspective, this book provides a nice introduction to the mutual fund. It explains the various terms and entities involved in mutual fund and how they fit together as a whole. The chapters about taxation, scheme classification and loads are instructive.<br/><br/>Some chapters discuss the quantitative calculation of risk, return and risk adjusted returns. I am unsure of the target audiences of these chapters as the methods are not discussed in depth. It mostly explains the how part, not the why part.",,,1,0
50840378,Truck de India!: A Hitchhiker's Guide to Hindustan,Rajat Ubhaykar,"Ubhaykar, Rajat",,"=""938679764X""","=""9789386797643""",3,4.26,Simon & Schuster India,Paperback,309,2019,,2021/02/23,2021/01/22,non-fiction,non-fiction (#45),read,,,,1,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",3,3.88,Penguin Books,Paperback,112,2002,1937,2021/01/09,2020/12/19,fiction,fiction (#166),read,,,,1,0
11612989,The Dictator's Handbook: Why Bad Behavior is Almost Always Good Politics,Bruce Bueno de Mesquita,"Mesquita, Bruce Bueno de",Alastair      Smith,"=""161039044X""","=""9781610390446""",3,4.28,PublicAffairs,Hardcover,321,2011,2011,2021/01/01,2020/11/02,politics,politics (#4),read,,,,1,0
25587882,Mastering Emacs,Mickey Petersen,"Petersen, Mickey",,"=""""","=""""",4,4.17,,ebook,314,2022,2015,2021/01/01,2020/12/26,programming,programming (#96),read,,,,1,0
38310,How Buildings Learn: What Happens After They're Built,Stewart Brand,"Brand, Stewart",,"=""0140139966""","=""9780140139969""",4,4.35,Penguin Books,Paperback,252,1995,1994,2020/12/18,2020/10/25,non-fiction,non-fiction (#44),read,,,,1,0
9276509,The Alchemist: A Graphic Novel,Derek Ruiz,"Ruiz, Derek","Paulo Coelho, Daniel Sampere","=""0062024329""","=""9780062024329""",3,3.85,HarperOne,Hardcover,208,2010,2010,2011/06/02,2011/06/08,"own, fiction, comics","own (#6), fiction (#2), comics (#5)",read,,,,1,1
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0553383043""","=""9780553383041""",2,4.01,,Paperback,183,2004,1968,2020/11/25,2020/11/21,fiction,fiction (#165),read,,,,1,0
1807642,The Turing Option,Harry Harrison,"Harrison, Harry",Marvin Minsky,"=""0446364967""","=""9780446364966""",3,3.63,Grand Central Publishing,Paperback,409,1993,1992,2020/11/01,2020/10/23,fiction,fiction (#164),read,,,,1,0
